transaction_id,account_id,transaction_date,transaction_type,transaction_category,amount
1,101,2026-07-01,Deposit,Salary,3200
2,101,2026-07-03,Withdrawal,Food,85.5
3,102,2026-07-04,Transfer,Bills,450
4,102,2026-07-06,Transfer,Shopping,220
5,103,2026-07-02,Deposit,Salary,5200
6,103,2026-07-09,Transfer,Investment,1000
7,104,2026-07-05,Investment,Stocks,5000
8,104,2026-07-12,Investment,Bonds,2500
9,105,2026-07-07,Withdrawal,Travel,1200
10,105,2026-07-14,Transfer,Bills,650
11,106,2026-07-03,Deposit,Salary,4100
12,106,2026-07-11,Transfer,Food,180
13,107,2026-07-08,Transfer,Shopping,340
14,107,2026-07-15,Withdrawal,Transport,90
15,108,2026-07-01,Deposit,Business Income,15000
16,108,2026-07-10,Transfer,Investment,4000
17,109,2026-07-06,Investment,Stocks,25000
18,109,2026-07-18,Investment,Funds,12000
19,110,2026-07-04,Deposit,Salary,3800
20,110,2026-07-13,Withdrawal,Food,125
21,111,2026-07-02,Investment,Stocks,7000
22,111,2026-07-16,Investment,Funds,3500
23,112,2026-07-05,Deposit,Salary,6800
24,112,2026-07-17,Transfer,Bills,780
25,113,2026-07-03,Deposit,Allowance,800
26,113,2026-07-14,Transfer,Shopping,150
27,114,2026-07-08,Deposit,Salary,5900
28,114,2026-07-20,Withdrawal,Travel,900
29,115,2026-07-01,Investment,Stocks,30000
30,115,2026-07-22,Investment,Bonds,15000
